id,name,year,address,email,phone_number,busness_type,country,website,operating_time,is_operated
14,"Smith, Henry and Moore",1994,"0516 Robertson Lights Suite 715, Port Bryanport, OR 71621",cameronlori@davies.org,001-245-413-0921x323,Wholesale,China,http://www.williams.com/,12 AM - 7 PM,1
15,"Espinoza, Johnston and Whitaker",2001,"4085 April Fords, Lake Patrick, ND 42296",lbarnes@miller.com,8814927325,E-commerce,Colombia,http://miller.com/,2 AM - 9 PM,1
16,Fletcher-Haynes,2007,"886 Garrett Circle, Lake Bryanburgh, MN 06214",hicksjennifer@page.biz,001-426-881-0852x915,E-commerce,Saint Vincent and the Grenadines,http://www.chan-valenzuela.com/,9 AM - 5 PM,0
17,Jones PLC,1997,"801 Cory Bypass, West Kyle, NC 84995",probertson@franco-berry.com,3624164812,E-commerce,Northern Mariana Islands,http://cardenas-mckay.org/,6 AM - 4 PM,1
18,Johnson Inc,1981,"PSC 5955, Box 4625, APO AP 50376",riveramatthew@smith-anderson.com,281-414-9680,Wholesale,South Africa,https://walsh.com/,10 AM - 5 PM,1
19,Walker-Porter,1987,"548 Thompson Run, East Rickey, AZ 02818",zstafford@wright.info,4065368001,E-commerce,Brunei Darussalam,http://williams-sullivan.com/,9 AM - 12 PM,0
20,"Owens, Cox and Marshall",1999,"2681 Gonzalez Burg Suite 993, West Timothy, IA 81673",michaelhill@bennett.net,(172)250-6386,Retail,Senegal,http://guerrero-davis.info/,6 AM - 8 PM,0
21,Harris Inc,1971,"2807 Jennifer Forest, North Michael, CT 64649",drewturner@simmons-gilbert.org,+1-057-644-2187x19634,Manufacturing,Slovakia (Slovak Republic),https://le.org/,11 AM - 1 PM,0
22,Woods-Dunn,1990,"3231 Larsen Vista, Lake Stephaniehaven, VT 23417",fjones@cruz.org,(850)395-7889x5857,Manufacturing,Pakistan,http://www.church.org/,8 AM - 11 PM,1
23,Harris and Sons,1960,"59615 Erica Extensions, Port Jeff, AR 70783",aaron79@smith.biz,(150)721-8584x50763,Retail,Eritrea,https://www.martin-wright.org/,12 AM - 3 PM,1
24,Meyers-Osborn,2010,"PSC 8974, Box 2703, APO AA 66464",ian15@dixon.info,144.690.8458,Retail,Hong Kong,https://www.reyes-berger.com/,2 AM - 2 PM,0
25,"Delgado, Lewis and Hess",1966,"37666 Jacob Branch, New Samuelmouth, IL 92419",iescobar@anderson-schwartz.info,968-017-6747x46596,Wholesale,Tajikistan,http://www.bentley-waters.com/,2 AM - 5 PM,1
26,Kelly-Johnson,1995,"USCGC Morgan, FPO AE 06677",melissawagner@payne-bush.com,617-401-7057,Retail,Slovakia (Slovak Republic),http://cruz-chandler.com/,2 AM - 3 PM,1
27,"Martinez, Price and Spencer",1993,"89582 Charles Underpass, Ochoahaven, MI 38640",jerry29@rush.info,786-209-5610,E-commerce,Senegal,https://www.stewart.com/,5 AM - 8 PM,0
28,"Miller, Powell and Dudley",1958,"27060 Katherine Crossing Suite 987, East Jacqueline, ID 09784",mpitts@thomas-nichols.org,(729)477-4917,Wholesale,Northern Mariana Islands,http://rodriguez-carter.com/,7 AM - 8 PM,0
29,Davis-Stevenson,1950,"060 Jacqueline Shores, New Jonathan, ID 13219",amber54@mccarthy.net,001-653-287-7631,Wholesale,Algeria,https://www.carroll.net/,11 AM - 8 PM,1
30,Henry-Irwin,2011,"Unit 2984 Box 1991, DPO AP 48556",johnsonkara@wong.com,2304524697,Wholesale,Lebanon,https://www.young.info/,2 AM - 12 PM,1
31,"Patel, Greene and Mann",2004,"47239 Brandon Extensions Apt. 802, South Johnchester, PA 31436",tara18@walters.com,+1-846-035-7166x1977,Manufacturing,Mongolia,https://www.robinson-bartlett.biz/,1 AM - 11 PM,1
32,Watts Ltd,2023,"3469 Sheila Estates Apt. 400, Bryanfort, MT 64294",max02@rose.com,869-349-7058,Manufacturing,Turkmenistan,https://www.walker-long.com/,11 AM - 11 PM,1
33,"Johnson, Moore and Dixon",1975,"5244 Kristina Ways, Lindaburgh, NH 09869",tjohnson@moreno.com,(428)002-0450x79621,Manufacturing,Qatar,https://wilkins.com/,9 AM - 9 PM,1
34,Campos Group,2001,"938 Richardson Flat, Nobleborough, ID 01949",bryanwillis@keith.info,448-762-4286,Retail,Djibouti,http://www.parker.com/,6 AM - 12 PM,0
35,Robinson-Pham,1957,"732 Mccarty Spurs Suite 067, Josephchester, MN 92586",elizabethvilla@alvarez.info,+1-803-874-8700x749,Retail,Palau,http://carter.biz/,2 AM - 6 PM,0
36,"Watson, Peterson and Soto",1951,"7960 Nicole Views, Nashland, TX 70592",wgutierrez@walker-wilkins.com,878.745.3752x0970,E-commerce,Libyan Arab Jamahiriya,https://www.baker-jensen.com/,8 AM - 5 PM,1
37,"Hernandez, Hughes and Graham",1997,"537 Charlene Expressway Suite 820, North Amy, SD 30048",aosborne@briggs.com,(897)323-2770x729,E-commerce,Kuwait,http://www.moore.com/,10 AM - 4 PM,0
38,"Hanna, Henson and Williams",2002,"244 Adams Circles, Freemanfurt, MA 64693",amandaburns@marsh.info,097.006.3810x4774,Wholesale,Namibia,https://jones.biz/,2 AM - 4 PM,1
39,Bowers-Williams,1963,"69102 Gallegos Station, Cynthiaberg, CT 07322",tiffany37@galvan-bowers.com,839.199.7337x333,Retail,Latvia,https://frederick.info/,2 AM - 9 PM,0
40,Jacobson Group,1963,"01618 Charles Road, South Timothy, NE 52405",ryanowen@davenport-cooke.com,650.702.4165,Wholesale,Gibraltar,http://www.huang-howe.com/,7 AM - 11 PM,1
41,Horne-Webster,1982,"5544 Michael Village Suite 332, Port Bryanberg, MS 51280",amy76@sanders.org,001-962-701-7958x597,Manufacturing,Croatia,http://www.vazquez.com/,4 AM - 4 PM,1
42,Watson-Evans,1976,"414 James Path Apt. 656, Kellyport, IA 91345",brittany73@hanson.org,741-627-9912,Manufacturing,United Arab Emirates,https://www.brady-lee.com/,12 AM - 5 PM,0
43,"Thomas, Smith and Franklin",1970,"306 Dawn Brooks Apt. 236, Kathleenland, TX 36166",jordan61@lee-wang.com,465.058.8132,E-commerce,Poland,https://estrada.biz/,1 AM - 8 PM,1
44,Villegas PLC,2017,"894 John Stream Suite 350, East Peter, NV 51662",sandramoore@smith.net,386-917-9026x737,Retail,Equatorial Guinea,https://harmon.info/,2 AM - 9 PM,1
45,"Hurst, Estrada and Murillo",1962,"672 Theresa Mission, Bradfordville, KS 53945",cindynewton@edwards.biz,(782)043-3362,Manufacturing,Wallis and Futuna,http://www.lowe-morrison.net/,12 AM - 3 PM,1
46,Hill-Johnson,1953,"80572 Hernandez Key, Terriland, NE 20692",hannahrowe@moore-lopez.com,(936)442-8013x27981,E-commerce,Turkmenistan,https://www.howard.com/,2 AM - 12 PM,1
47,White Group,2014,"764 Fuentes Circle Suite 295, North Sandraton, NM 28827",sandra25@perez-nixon.com,284.610.5697,Retail,Bangladesh,http://www.york.com/,5 AM - 4 PM,0
48,"Hill, Scott and Carpenter",1968,"392 Christine Branch, Villanuevashire, AZ 88504",maria94@johnson.com,158-442-2150x4317,Manufacturing,Poland,https://www.estrada-lindsey.com/,11 AM - 2 PM,1
49,"Moore, Hines and Callahan",2019,"49170 Moreno Oval Suite 303, Lorifurt, AZ 44423",elizabeth40@richardson-watson.com,096-748-9378,Retail,India,https://johnson.info/,7 AM - 12 PM,1
50,Oconnor-Lee,1963,"7581 Swanson Ranch Suite 478, South Courtneystad, MD 06557",marksmith@kirk.net,(357)459-3338x0506,Wholesale,Northern Mariana Islands,http://www.calderon.net/,12 AM - 7 PM,0
51,Perez-Mcgee,1985,"62785 John Fields, West Sandyburgh, KS 09370",erin32@stafford.net,001-451-743-2937x4158,Retail,Anguilla,http://www.silva.com/,12 AM - 8 PM,1
52,Bray Inc,1972,"2533 Hamilton Tunnel Apt. 515, Adkinsstad, WY 41563",andrewcardenas@ferguson.com,669-494-4179,Retail,Qatar,https://schroeder.com/,9 AM - 11 PM,1
53,Wang PLC,1992,"116 Travis Park Suite 727, Hillside, MT 76532",lsherman@key-morrison.com,321-418-2250x064,E-commerce,New Caledonia,https://www.holland.com/,1 AM - 4 PM,1
54,"Morrow, Lester and Casey",2017,"1537 Adams Isle, Angelafurt, DE 13589",vmccormick@tran.com,103.990.4411,Manufacturing,Liechtenstein,https://wilson.com/,7 AM - 11 PM,0
55,Salinas PLC,1997,"76252 Rodriguez Inlet, Lake Natalieborough, VT 61676",benjamin49@rose-brown.com,826-715-2431,E-commerce,Djibouti,http://www.clark-boyd.biz/,12 AM - 3 PM,0
56,Turner-Jones,2020,"872 Mejia Roads, Port Fred, WA 08685",jonesjoel@jarvis.org,560.583.6987x590,Wholesale,Burkina Faso,http://miller-cherry.com/,4 AM - 2 PM,0
57,Thomas LLC,1950,"97742 Jorge Ports, Bishopville, RI 52937",tsmith@bennett.com,(202)257-1343x936,E-commerce,South Africa,https://www.simmons.com/,11 AM - 1 PM,0
58,Burgess-Baker,2022,"6009 Watson Via Suite 700, Castillomouth, ND 34901",pdavis@payne.org,001-602-045-6340x4706,Retail,Cocos (Keeling) Islands,https://bryant-hunter.net/,1 AM - 5 PM,0
59,Carter Inc,1957,"95213 Jonathan Trail, Martinfurt, TX 83203",ritapowell@anderson.com,(442)735-6964,Retail,New Caledonia,https://lopez.com/,6 AM - 6 PM,1
60,"Simmons, King and James",1962,"1023 Woodard Square, Rickyville, SC 92118",schroederchristina@sampson-perry.com,016.680.7925,Manufacturing,United Arab Emirates,http://www.dorsey.org/,2 AM - 12 PM,1
61,"Edwards, Mcdonald and Wilson",2020,"Unit 9286 Box 9253, DPO AP 75820",jmeyer@morales.com,+1-018-685-4385x681,Manufacturing,Monaco,http://www.brooks.info/,1 AM - 9 PM,0
62,"Boone, Ayers and Graham",1955,"6372 Eric Meadows Suite 311, Martinbury, ID 37313",cherylspencer@hawkins.com,001-054-671-1805,Retail,Belgium,http://edwards.com/,2 AM - 7 PM,0
63,Jones-Wolfe,1972,"40347 Jennifer Plain Suite 141, New Anthony, NJ 99153",amysmith@thomas-byrd.org,(919)153-1058x650,Manufacturing,Zimbabwe,https://www.richardson.com/,9 AM - 10 PM,1
64,"Hunt, Holland and Chavez",2015,"78939 Moore Square Apt. 197, New Andreabury, IN 92193",steven44@young.com,4989865273,Retail,Serbia,http://mccoy-marshall.net/,5 AM - 10 PM,1
65,"Davis, Lopez and Lewis",2020,"085 Cooley Circle, Port Jameschester, MS 36377",xlewis@rodriguez.net,001-774-682-8502,Retail,Niue,http://villegas.org/,7 AM - 2 PM,1
66,"Cobb, Hart and Vincent",1981,"03594 Smith Extensions Apt. 562, Davisview, NE 39784",edwardyoung@horne-black.com,+1-095-545-7164x55101,Retail,United States Minor Outlying Islands,https://www.huff-shaffer.com/,1 AM - 1 PM,1
67,Petersen PLC,1975,"PSC 0826, Box 8600, APO AA 69212",ucruz@young.biz,662-983-7847,Manufacturing,Bangladesh,http://www.galloway-schneider.com/,6 AM - 12 PM,0
68,"Smith, Lyons and Mendez",1978,"31035 Stevenson Rest, South Tammy, WA 75893",stephanie13@donaldson.info,1244597471,Manufacturing,Japan,http://www.gonzalez.org/,1 AM - 4 PM,0
69,Martin-Kelley,1963,"PSC 3913, Box 6074, APO AP 59090",deborahstevens@manning-evans.com,443-557-5303x6711,Retail,Turkey,https://blankenship.info/,3 AM - 4 PM,0
70,Hicks Inc,2008,"250 Shelley Manors Suite 032, Justinville, ID 26095",nicholasreid@wood-blackwell.biz,738-919-7262,E-commerce,Heard Island and McDonald Islands,http://www.wells-copeland.com/,1 AM - 11 PM,0
71,Edwards-Miller,2015,"64883 Ashley Club, Port Crystal, TN 59453",erinlucas@duffy-washington.com,806.829.5715x165,Manufacturing,Gabon,http://www.williamson.biz/,10 AM - 8 PM,1
72,Taylor-Hart,1961,"01844 Robinson Row, Sarahbury, AK 03358",andrew24@becker-scott.com,(894)679-6182x276,Wholesale,Saudi Arabia,http://torres-wood.com/,4 AM - 8 PM,1
73,Obrien-Johnston,2004,"9276 James Plains Suite 754, Wrightmouth, NY 33933",buckleyanne@dunn-mcmillan.net,001-210-981-4267x26064,Retail,Spain,https://hooper-anderson.org/,4 AM - 9 PM,1
74,Harris-Padilla,1991,"09374 Nguyen Avenue, Katherinehaven, NE 96248",brittany80@lawrence.com,+1-609-971-5521x11412,E-commerce,Martinique,http://www.reynolds-santana.com/,5 AM - 8 PM,1
75,Gallagher-Baker,1961,"4411 Mercado Springs Apt. 632, West Krystalchester, NM 33964",thompsonchristopher@jones.com,261.468.0924x90824,Retail,Finland,http://www.richards.com/,12 AM - 5 PM,0
76,"Young, Moran and Murphy",1956,"14958 Ward Pine Suite 888, East Bridget, PA 98340",dawsontracy@clark-sharp.info,-11769,Wholesale,Nauru,https://www.lowe-wright.com/,6 AM - 6 PM,0
77,"Vega, Ford and Perry",2021,"554 Xavier Overpass, Lake Deborah, OH 39686",thicks@ferguson-palmer.net,5472878431,Manufacturing,Norway,https://www.jackson.com/,1 AM - 7 PM,1
78,Gutierrez Ltd,1987,"2580 Lewis Harbors Suite 400, Meyerview, WI 76760",skinnermichelle@johnson-wang.biz,278.375.6826,Retail,Ethiopia,https://jimenez.biz/,9 AM - 4 PM,1
79,"Miller, Coleman and Morgan",1993,"38200 Hall Pike, South Danielle, PA 78937",christopher81@burke-vaughn.com,(829)041-3883,Wholesale,Senegal,https://blake.com/,8 AM - 4 PM,0
80,"Dean, Wagner and Cantrell",1954,"076 Danny Rapid Apt. 661, Blakeshire, KS 58912",gherman@gonzalez.com,3185684662,Manufacturing,Liberia,https://miller-hester.com/,10 AM - 12 PM,1
81,Rice and Sons,1973,"11938 Petersen Burg, Gardnermouth, AK 48631",reyesmatthew@fisher.com,609-022-7134,Wholesale,Greece,https://davis-gillespie.org/,12 AM - 10 PM,0
82,Garcia-Phillips,1956,"66452 Jill Course Apt. 359, Lake Dwayne, MN 60463",timothyroberts@miller.com,534.130.7043x58878,Wholesale,Panama,https://www.stevens-andrews.com/,2 AM - 6 PM,1
83,Bryant Inc,1960,"368 Carr Overpass Suite 328, Lawsonmouth, DC 53184",edwardgibson@browning-holloway.com,-8209,Wholesale,Burundi,https://www.price.com/,8 AM - 11 PM,1
84,"Wright, Stafford and Davis",1971,"USNV Hernandez, FPO AA 50276",christopherruiz@mendoza.com,382-569-9421,Retail,Turkey,http://allen.org/,1 AM - 1 PM,1
85,"Wilson, Lang and Reed",1964,"174 Kelly Valleys, Josephmouth, VT 04293",amberowens@boyer.info,580.320.0445,Wholesale,Chad,https://www.jennings.com/,1 AM - 4 PM,0
86,"Hudson, Simmons and Brown",2000,"81364 Donna Views, Warnerbury, MD 99320",tmorales@armstrong-saunders.info,001-725-971-5609,Manufacturing,Somalia,http://www.lopez.info/,12 AM - 1 PM,0
87,"Collins, Bennett and Sanchez",1977,"189 Brandon Square, Port Joyce, MT 29316",tonyreese@navarro.info,753.473.5990,Retail,Cuba,https://arias-patton.biz/,5 AM - 4 PM,1
88,Martinez Ltd,1955,"0330 Jonathan Neck, Graceview, MD 40668",vperez@nguyen.com,049.648.9190x8789,Retail,Grenada,http://le-benson.com/,4 AM - 1 PM,1
89,Mason PLC,2011,"36671 Cassandra Glens, Kurtview, NV 03052",nwilliams@dorsey.com,+1-992-370-7672x850,Wholesale,French Polynesia,https://greer.com/,3 AM - 3 PM,1
90,Marshall Inc,1976,"218 Bailey Island, Lindsayborough, MN 33937",markmyers@frazier.com,(092)782-0159,Manufacturing,Tajikistan,https://williams.net/,7 AM - 6 PM,1
91,"Horn, Gomez and Stanley",2006,"6404 Roy Street Apt. 077, Jenningshaven, VA 32450",gatesrichard@stewart.info,+1-960-196-1009x99905,Wholesale,Saint Vincent and the Grenadines,https://www.hayes.com/,11 AM - 7 PM,0
92,Martin Ltd,2019,"6758 David Shore, New Jasonmouth, RI 28425",anna98@lee.net,1008993445,Wholesale,Latvia,https://www.khan-estrada.com/,11 AM - 8 PM,0
93,"Smith, Barnett and Osborne",2020,"12340 Denise Lights Suite 510, Annafort, MD 50615",kendra40@cordova.com,304-944-4237,Wholesale,Guadeloupe,http://hawkins-calhoun.info/,5 AM - 10 PM,0
94,"Johnson, Jimenez and Cooper",1953,"27165 Norris Cove, West Rhonda, NJ 54126",williamsshawn@ray-kennedy.com,5952467178,Wholesale,Guatemala,http://miles-perkins.com/,8 AM - 2 PM,0
95,Porter-Ochoa,2002,"2268 Holly Falls Suite 595, Lake Stephenburgh, IA 69300",ocooper@williams.info,132.245.5050x9533,E-commerce,Cape Verde,https://www.rojas.biz/,7 AM - 10 PM,1
96,Miller Ltd,1969,"55587 Clark Rapid Suite 255, Lake Nathanside, NY 70004",hodgesbrittany@swanson.org,2991629685,E-commerce,Tuvalu,https://anderson.com/,5 AM - 9 PM,1
97,Bailey-Blackburn,1979,"35540 Robbins Crossing Apt. 080, West Coreyside, CT 07120",valdezjustin@cox.net,(056)107-6186x7274,Manufacturing,Mauritius,https://www.rodriguez.net/,10 AM - 3 PM,0
98,"Reed, Johnson and Russell",1960,"7072 Green Field, South Michaelmouth, RI 88064",robert42@fitzgerald-butler.com,(353)273-4125x5828,Retail,Japan,http://www.martin.info/,2 AM - 5 PM,1
99,"Schneider, Fleming and Daniels",1965,"835 Elizabeth Underpass Suite 603, North Justin, WY 56532",gford@mendez.org,+1-143-744-4360x244,Wholesale,Hong Kong,https://www.lynch.com/,1 AM - 1 PM,1
100,Knight LLC,2014,"Unit 1815 Box 0519, DPO AP 01777",ucooper@whitney.com,594-418-1770,Manufacturing,Denmark,http://holloway-jackson.com/,4 AM - 2 PM,0
